Common garden,Prov,Bloc,MATp,MAPp,GDD5p,Latitude,Longitude,sf1,sf2,sf3,sf4,sf5,Geno_EST.pb,Geno_OUEST.pb,Geno_CENTRE.pb
Chibougamau,326,3,-0.101573333,886.7261667,1153.177077,49.03333333,-73.45,-0.087630404,0.170245941,-0.14401905,0.036778909,-0.122865297,0.242654762,0.021896825,0.735452381
Chibougamau,326,4,-0.101573333,886.7261667,1153.177077,49.03333333,-73.45,-0.087630404,0.170245941,-0.14401905,0.036778909,-0.122865297,0.242654762,0.021896825,0.735452381
Chibougamau,326,5,-0.101573333,886.7261667,1153.177077,49.03333333,-73.45,-0.087630404,0.170245941,-0.14401905,0.036778909,-0.122865297,0.242654762,0.021896825,0.735452381
Chibougamau,329,3,-1.02816,1302.03477,885.3478033,47.86666667,-71.2,-0.126953099,0.122717188,-0.105397491,0.140388797,-0.02100304,0.590201681,0.025571429,0.384218487
Chibougamau,329,4,-1.02816,1302.03477,885.3478033,47.86666667,-71.2,-0.126953099,0.122717188,-0.105397491,0.140388797,-0.02100304,0.590201681,0.025571429,0.384218487
Chibougamau,329,5,-1.02816,1302.03477,885.3478033,47.86666667,-71.2,-0.126953099,0.122717188,-0.105397491,0.140388797,-0.02100304,0.590201681,0.025571429,0.384218487
Chibougamau,332,3,1.356713333,1177.602027,1168.876743,48.5,-67.11666667,-0.172684105,0.001358509,0.020488058,0.173303556,0.103123451,0.791416667,0.012678571,0.195829365
Chibougamau,332,4,1.356713333,1177.602027,1168.876743,48.5,-67.11666667,-0.172684105,0.001358509,0.020488058,0.173303556,0.103123451,0.791416667,0.012678571,0.195829365
Chibougamau,332,5,1.356713333,1177.602027,1168.876743,48.5,-67.11666667,-0.172684105,0.001358509,0.020488058,0.173303556,0.103123451,0.791416667,0.012678571,0.195829365
Chibougamau,333,3,-0.334503333,910.4311,1181.792757,49.61666667,-77.75,-0.004135728,0.209415688,-0.129932555,-0.157761463,-0.147262435,0.28692437,0.01455042,0.698542017
Chibougamau,333,4,-0.334503333,910.4311,1181.792757,49.61666667,-77.75,-0.004135728,0.209415688,-0.129932555,-0.157761463,-0.147262435,0.28692437,0.01455042,0.698542017
Chibougamau,333,5,-0.334503333,910.4311,1181.792757,49.61666667,-77.75,-0.004135728,0.209415688,-0.129932555,-0.157761463,-0.147262435,0.28692437,0.01455042,0.698542017
Chibougamau,336,3,0.55798,954.77411,1285.888657,48.36666667,-76.95,-0.020654859,0.214394826,-0.143491346,-0.135925514,-0.148472442,0.219384921,0.011920635,0.768674603
Chibougamau,336,4,0.55798,954.77411,1285.888657,48.36666667,-76.95,-0.020654859,0.214394826,-0.143491346,-0.135925514,-0.148472442,0.219384921,0.011920635,0.768674603
Chibougamau,336,5,0.55798,954.77411,1285.888657,48.36666667,-76.95,-0.020654859,0.214394826,-0.143491346,-0.135925514,-0.148472442,0.219384921,0.011920635,0.768674603
Chibougamau,338,3,2.091506667,891.21605,1457.604047,47.08333333,-76.55,-0.028195997,0.208355251,-0.141453321,-0.117272696,-0.124255684,0.296107143,0.01290873,0.691003968
