Common garden,Prov,xVar,Value,Std.Error,DF,tvalue,p-value,var
Chibougamau,Prov6970,s(Year):as.factor(Bloc)3Fx1,0.277043154,0.150809492,96,1.837040561,0.069297751,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov6970,s(Year):as.factor(Bloc)4Fx1,0.325880563,0.149577762,96,2.178669874,0.03180425,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov6970,s(Year):as.factor(Bloc)5Fx1,0.231815933,0.162379298,96,1.427619999,0.156646175,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6973,(Intercept),-0.370484078,0.284396646,96,-1.302701992,0.195792852,X(Intercept)
Chibougamau,Prov6973,prevSummerTemp,0.000142053,0.002023657,96,0.070196391,0.944183367,XprevSummerTemp
Chibougamau,Prov6973,prevFallTemp,0.001675604,0.001230649,96,1.361561666,0.176523225,XprevFallTemp
Chibougamau,Prov6973,WinterTemp,0.001514464,0.000853657,96,1.774088297,0.079219027,XWinterTemp
Chibougamau,Prov6973,SpringTemp,0.001344285,0.001001798,96,1.341871827,0.182802848,XSpringTemp
Chibougamau,Prov6973,SummerTemp,0.002443634,0.001900097,96,1.286057718,0.201516145,XSummerTemp
Chibougamau,Prov6973,FallTemp,0.001246708,0.001332568,96,0.935567496,0.351843404,XFallTemp
Chibougamau,Prov6973,prevSummerSMI,-0.001191357,0.000588442,96,-2.024595705,0.045686539,XprevSummerSMI
Chibougamau,Prov6973,prevFallSMI,-0.001320535,0.001748132,96,-0.755397676,0.451859817,XprevFallSMI
Chibougamau,Prov6973,Snowfall,2.10E-05,2.94E-05,96,0.712660985,0.477784185,XSnowfall
Chibougamau,Prov6973,SpringSMI,-0.000763551,0.000503042,96,-1.517866043,0.132334545,XSpringSMI
Chibougamau,Prov6973,SummerSMI,-0.000667399,0.00069277,96,-0.963376593,0.337779009,XSummerSMI
Chibougamau,Prov6973,FallSMI,-0.000816422,0.001493582,96,-0.54662015,0.585908001,XFallSMI
Chibougamau,Prov6973,totalC:as.factor(Bloc)3,0.389950198,0.061211041,96,6.370585941,6.50E-09,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6973,totalC:as.factor(Bloc)4,0.530828183,0.090080735,96,5.892804766,5.62E-08,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6973,totalC:as.factor(Bloc)5,0.499641757,0.08451639,96,5.911773554,5.17E-08,XtotalC:as.factor(Bloc)5
Chibougamau,Prov6973,s(Year):as.factor(Bloc)3Fx1,2.669740757,0.45665647,96,5.846278179,6.91E-08,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov6973,s(Year):as.factor(Bloc)4Fx1,2.347496643,0.406747312,96,5.771388209,9.62E-08,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov6973,s(Year):as.factor(Bloc)5Fx1,2.27365286,0.391453011,96,5.80823955,8.18E-08,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6979,(Intercept),0.431431533,0.200387885,96,2.152982121,0.033825994,X(Intercept)
Chibougamau,Prov6979,prevSummerTemp,-0.000801829,0.001551239,96,-0.516895512,0.606417919,XprevSummerTemp
Chibougamau,Prov6979,prevFallTemp,-0.000473739,0.000996804,96,-0.475257332,0.63568312,XprevFallTemp
Chibougamau,Prov6979,WinterTemp,0.001365119,0.000647462,96,2.108417499,0.037598792,XWinterTemp
Chibougamau,Prov6979,SpringTemp,-0.000786945,0.00076025,96,-1.035112329,0.303216909,XSpringTemp
Chibougamau,Prov6979,SummerTemp,0.00084329,0.001479601,96,0.569944073,0.57004704,XSummerTemp
Chibougamau,Prov6979,FallTemp,-0.00090558,0.00104711,96,-0.864837594,0.389283885,XFallTemp
Chibougamau,Prov6979,prevSummerSMI,-0.001094737,0.000447177,96,-2.448104842,0.016176995,XprevSummerSMI
Chibougamau,Prov6979,prevFallSMI,-0.00223774,0.001320183,96,-1.695022911,0.093312515,XprevFallSMI
Chibougamau,Prov6979,Snowfall,-2.79E-05,2.24E-05,96,-1.24340015,0.216748381,XSnowfall
Chibougamau,Prov6979,SpringSMI,-0.000133672,0.000376953,96,-0.354612843,0.723657451,XSpringSMI
Chibougamau,Prov6979,SummerSMI,-0.000773977,0.000535894,96,-1.444271239,0.151918554,XSummerSMI
Chibougamau,Prov6979,FallSMI,-0.000910427,0.001140352,96,-0.798373501,0.426624406,XFallSMI
Chibougamau,Prov6979,totalC:as.factor(Bloc)3,0.141906153,0.050679723,96,2.800057779,0.006177786,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6979,totalC:as.factor(Bloc)4,0.133055814,0.050748855,96,2.621848613,0.010170178,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6979,totalC:as.factor(Bloc)5,0.13490132,0.050686211,96,2.66149942,0.009120219,XtotalC:as.factor(Bloc)5
Chibougamau,Prov6979,s(Year):as.factor(Bloc)3Fx1,0.470484376,0.20592232,96,2.284766297,0.024528288,Xs(Year):as.factor(Bloc)3Fx1
